congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
117,President,99913,99,0,USA,100,0,0,"BIDEN, Joseph Robinette, Jr.",B000444,1942.0,,,,,,,,,,
117,House,20301,41,3,AL,200,,,"ROGERS, Mike Dennis",R000575,1958.0,,0.359,0.457,-34.34842,0.85784,224,9,,0.503,0.061
117,House,21102,41,7,AL,100,,,"SEWELL, Terri",S001185,1965.0,,-0.392,0.402,-6.69525,0.97081,226,3,,-0.698,0.371
117,House,21193,41,5,AL,200,,,"BROOKS, Mo",B001274,1954.0,,0.654,-0.442,-26.27642,0.88978,225,14,,0.777,-0.331
117,House,21500,41,6,AL,200,,,"PALMER, Gary James",P000609,1954.0,,0.703,-0.011,-14.74486,0.9379,230,8,,0.687,0.281
117,House,22108,41,1,AL,200,,,"CARL, Jerry L.",C001054,1958.0,,0.599,0.431,-14.35663,0.93949,230,6,,0.603,0.426
117,House,22140,41,2,AL,200,,,"MOORE, Barry",M001212,1966.0,,0.67,-0.154,-21.63902,0.90632,220,11,,0.681,-0.15
117,House,29701,41,4,AL,200,,,"ADERHOLT, Robert",A000055,1965.0,,0.374,0.586,-45.55137,0.81525,223,13,,0.587,0.02
117,House,14066,81,1,AK,200,,,"YOUNG, Donald Edwin",Y000033,1933.0,,0.284,0.021,-40.19341,0.81876,201,15,,0.294,-0.072
117,House,20305,61,3,AZ,100,,,"GRIJALVA, Raúl M.",G000551,1948.0,,-0.598,-0.255,-2.91705,0.9874,230,1,,-0.395,-0.352
117,House,20902,61,2,AZ,100,,,"KIRKPATRICK, Ann",K000368,1950.0,,-0.166,-0.005,-10.56517,0.9551,230,5,,-0.559,0.39
117,House,21103,61,4,AZ,200,,,"GOSAR, Paul",G000565,1958.0,,0.683,-0.425,-21.56907,0.9082,224,11,,0.758,-0.408
117,House,21105,61,6,AZ,200,,,"SCHWEIKERT, David",S001183,1962.0,,0.582,-0.31,-28.87451,0.88202,230,16,,0.502,0.04
117,House,21502,61,7,AZ,100,,,"GALLEGO, Ruben",G000574,1979.0,,-0.451,-0.013,-2.86071,0.98748,227,2,,-0.674,-0.002
117,House,21705,61,5,AZ,200,,,"BIGGS, Andrew S.",B001302,1958.0,,0.883,-0.469,-25.8436,0.89284,228,12,,1.0,-0.03
117,House,21739,61,1,AZ,100,,,"O'HALLERAN, Thomas C.",O000171,1946.0,,-0.192,0.157,-5.1088,0.97765,226,2,,-0.362,0.457
117,House,21757,61,8,AZ,200,,,"LESKO, Debbie",L000589,1958.0,,0.6,-0.025,-21.36687,0.91017,227,6,,0.595,-0.078
117,House,21968,61,9,AZ,100,,,"STANTON, Greg",S001211,1970.0,,-0.309,-0.077,-2.43348,0.98948,230,0,,-0.297,-0.282
117,House,21106,42,1,AR,200,,,"CRAWFORD, Rick",C001087,1966.0,,0.426,0.493,-31.76289,0.86942,227,13,,0.661,0.656
117,House,21108,42,3,AR,200,,,"WOMACK, Steve",W000809,1957.0,,0.354,0.574,-19.77097,0.91763,230,9,,0.343,0.453
117,House,21503,42,2,AR,200,,,"HILL, French",H001072,1956.0,,0.447,0.236,-14.20384,0.9396,228,7,,0.388,0.374
117,House,21563,42,4,AR,200,,,"WESTERMAN, Bruce Eugene",W000821,1967.0,,0.551,0.315,-15.31499,0.93476,227,5,,0.539,0.148
117,House,15448,71,12,CA,100,,,"PELOSI, Nancy",P000197,1940.0,,-0.49,-0.206,-0.03043,0.99913,35,0,,-0.433,-0.009
117,House,20104,71,28,CA,100,,,"SCHIFF, Adam",S001150,1960.0,,-0.349,-0.128,-3.55598,0.98466,230,2,,-0.528,-0.013
117,House,20107,71,50,CA,200,,,"ISSA, Darrell",I000056,1953.0,,0.502,-0.078,-24.24806,0.89287,214,9,,0.403,0.267
117,House,20307,71,22,CA,200,,,"NUNES, Devin",N000181,1973.0,,0.45,0.219,-13.42488,0.94158,223,5,,0.444,0.691
